class_label,LHS,RHS
phishing,050508183148.3E82285AE81,mail1.domain.co
phishing,DUs01-0004aE-3t,svr9.edns1.co
phishing,050508204200.2481B85AF05,mail1.domain.co
phishing,0505091548.j49FmWsG026101,az33exr02.mot.co
phishing,050511114414.D688D1836A3,mail2.domain.co
phishing,0505111944.MAA28868,mx18198.ff02.co
phishing,050512095530.74C2185B23D,mail1.domain.co
phishing,0505121854.j4CIsQOB030076,localhost.localdomai
phishing,0002182112.e1ILCgSU030344,gatekeeper.portablepimp.co
phishing,050513114916.18A5A1D5F5F,xserv
phishing,050513212956.455902AB007,xserv
phishing,050514093026.E6D131836A6,mail2.domain.co
phishing,DWtWc-0002L5-OQ,buzz.frogspace.ne
phishing,050514155919.C0AF540F3E5,xserv
phishing,06c25mx94$923963$as8bqh119,Candaceibf3obr802m238t
phishing,050515085151.70B6085AF09,mail1.domain.co
phishing,050515191007.164316792F3,xserv
phishing,050516082911.1CF62C9C77,wgs.parade.co
phishing,050516083512.0D1E17860C,pnetserve
phishing,050516083812.60BD11836A0,mail2.domain.co
phishing,DXi14-0005aW-2g,orange.srv2.co
phishing,0505161900.j4GJ03j16305,spam.thegeekempire.ne
phishing,GJDOGRSDWIDYYHFZTVOVA,charter.ne
phishing,JCMZVVLKKJXSABLVLO,aol.co
phishing,050518081600.C9C972DCA67,server12.kundenserver12hsgbr.d
phishing,050518191153.D257885AC6F,mail1.domain.co
phishing,JCZANKOETYBGWDHZFJN,charter.ne
phishing,050519021848.49C8185AC54,mail1.domain.co
phishing,050519023548.798F285ACB7,mail1.domain.co
phishing,050519060553.E60781836A1,mail2.domain.co
phishing,050520200651.053EE85A66E,mail1.domain.co
phishing,050520190636.6513.qmail,gomez.i
phishing,KKYQZFFOBQHLCXZAWUMDYI,earthlink.ne
phishing,050521042938.749F685AD45,mail1.domain.co
phishing,050521124537.9A92E85A718,mail1.domain.co
phishing,050521170248.0E0CC85ABA9,mail1.domain.co
phishing,050521181943.C5FC885A637,mail1.domain.co
phishing,050521192731.B98B085AB57,mail1.domain.co
phishing,16751589.17778.qmail,bankone.co
phishing,050522102845.AA23085A896,mail1.domain.co
phishing,0505232239.PAA45257,mx20211.aa03.co
phishing,PZWRFDJGUUXGMKSCTNGN,msn.co
phishing,050525021624.5118385AA15,mail1.domain.co
phishing,518415990.6pnxeq666371192lv,franca.ne
phishing,0003021851.e22IpuCw018603,gatekeeper.portablepimp.co
phishing,0505252129.j4PLTeBB004163,penguin.yourdomain.co
phishing,MSRXPIEDDDCXQCQHIMAHPI,hotmail.co
phishing,GRDFGUDBVFSJZHRPELV,hotmail.co
phishing,050526023943.6CF0285AA24,mail1.domain.co
phishing,050526134117.5B33D85AB69,mail1.domain.co
phishing,910tenw61764bt$3721237d05$2c12cv7,mediocr
phishing,050527204323.3810418369F,mail2.domain.co
phishing,7c01c5630c$6d86c752$82baeaef,paypal.co
phishing,JGXAVIGJCPOSREAPBJYalex,domain.co
phishing,DcNTG-0006T1-I4,server2.desktopsoftwares.co
phishing,DcSma-00079O-2K,excaliber.first2host.co
phishing,JPMINTAQGMDGJAAIZFVBZC,yahoo.co
phishing,050531101153.D30F385AC3B,mail1.domain.co
phishing,050531150129.3B00985AA48,mail1.domain.co
phishing,JFSDTWIGINRDIPVVBEYUT,msn.co
phishing,RIS-5392790-190667-2005.06.03-18.01.01--username#domain.com,winners.winningdaily.co
phishing,WRZTPZFRAIFSDCATQAJWDK,eBay.co
phishing,050604033121.C8C2085AB9D,mail1.domain.co
phishing,050604095648.A28C31836AB,mail2.domain.co
phishing,050605014619.46F921A1A1,weilih.com.t
phishing,0506041746.KAA86019,mx19250.uu02.co
phishing,050605062428.6DD611836A0,mail2.domain.co
phishing,0506022020.j52KKMlb019857,join1.winhundred.co
phishing,TEWNXIIVPTLOMCCLNZ,aol.co
phishing,SRTOVQLEHGQXIGRKUXRDT,charter.ne
phishing,050607084426.59A5E85A759,mail1.domain.co
phishing,050607130833.4F0A11836A7,mail2.domain.co
phishing,8401c44b9a$8a61a34a$90f1e60e,ruyx2f
phishing,8901c44ad6$65168191$806593c3,6m83pi
phishing,0506072220.j57MKAgb021614,localhost.localdomai
phishing,0506062112.j56LCc5u015078,join1.winhundred.co
phishing,661644.1118228963953.JavaMail.root,shankscape.co
phishing,LESAXVJFKKAZXAHYRM,eBay.co
phishing,050608142702.2C13418369F,mail2.domain.co
phishing,050608143856.8357B85ACCA,mail1.domain.co
phishing,050608181827.0B74F85ACFF,mail1.domain.co
phishing,0506082207.j58M7onB015756,serv-2-5-117.lycos-vds.co
phishing,RIS-5392790-190763-2005.06.08-18.01.10--username#domain.com,winners.winningdaily.co
phishing,ZXHRHRPVCREVWYPFCMCEWB,hotmail.co
phishing,18298605115.eBay.705443.57202.0,reply3.ebay.co
phishing,.BF.01345.21548A24,drmonroe.techtarget.co
phishing,NJGONODDDLPAPKGGPIOHAIHIAB.rena.hcumminsva,ebay.co
phishing,JOCRZLRYZOJQPOWKKZVJDW,astadev.co
phishing,r-1d1-60fk,kmb.4t
phishing,050609171543.2792885AC60,mail1.domain.co
phishing,0506082013.j58KDxtf018695,join1.winhundred.co
phishing,050610090623.D2B151C361,corporate.aeonms.co
phishing,UGRTLVALSLSSWAXLEXLF,comcast.ne
phishing,0506102004.j5AK4QB5023212,plain.ev1servers.ne
phishing,QPSNDEGZHYHNPMASFAHEOD,charter.ne
phishing,64495-l-5-$s$8lynwutrnd6ws07,k53q29n
phishing,QDDSOGNBTAVNYLYCIFJTGBZ,msn.co
phishing,AKCBKZIAKDVTHRZMCPASFG,eBay.co
phishing,BVNEZIVMIQDACFSGRINRSCF,msn.co
phishing,AMTQLLXSUUTIJSKQOA,hotmail.co
phishing,QOWPXPWKUUGUHZTOGWWKYYH,earthlink.ne
phishing,STVNONTYCQKULUHNEDZS,hotmail.co
phishing,LBJZVMQKNLPDQCFGCBSBWYI,verizon.ne
phishing,JRNZQRTHMSFOJXUTXBHMO,verizon.ne
phishing,0511160111.jAG1Bxg04204,s001.jdn-internetdiensten.n
phishing,051116101319.0EE1D6CCEB4,mail1.example.co
phishing,EcM6N-00060v-WE,server62.dedicatedusa.co
phishing,32136832.13140.card,skyfi.co
phishing,f601c5ebae$a90d8d5d$6d347b90,postbank.d
phishing,0511171910.jAHJAbHT012529,ns1.archynet.i
phishing,PAOFZEVQARFPXAAMEIZemv,example.co
phishing,051118125544.393C929FA,telchar.epud.ne
phishing,051118210759.D07448F86A,home.myoswego.co
phishing,0511182338.jAINcJSO024215,ns1.archynet.i
phishing,EdKoQ-0002m3-3K,jaguar.bcmweb.co
phishing,051119125452.B2EE81AD584,Server.loca
phishing,051119183320.928776FA2F2,mail2.example.co
phishing,RJTUMAJQFGFNGRWHMW,earthlink.ne
phishing,4304271814.3314237,oscsunb.osc.ed
phishing,EdgNa-000KhX-Iy,hermano.majordomo.r
phishing,EdgNa-000KhX-Iy,hermano.majordomo.r
phishing,9322659042,paypal.co
phishing,051120231119.23553.qmail,padtax.co
phishing,0511210110.jAL1And24720,localhost.localdomai
phishing,051121112015.3A9D8244193,simhope.com.t
phishing,051121180232.4F6F4228336,iMacWebServe
phishing,Eel5j-0005zu-92,paramount.xignahosting.co
phishing,JUYJGCEEMVFPYOAWYZJYH,hotmail.r
phishing,0715526174,paypal.co
phishing,AUAXTOMUMOOZROMFVIMEAZ,earthlink.ne
phishing,Ef2PQ-0000N7-00,netserv.ysu.ed
phishing,Ef3dZ-00073n-0L,server1.accessitalia.co
phishing,VJGKFIINYNEECJOMCRUT,charter.ne
phishing,PSMTZJTQBPMLKHXXRGJBH,charter.ne
phishing,0511250138.jAP1cPp20669,www.cnydevzone.co
phishing,0511250139.jAP1dqvh025043,tomlauren.co
phishing,0511250455.jAP4tRac017901,blupers.co
phishing,32943406.18949.qmail,paypal.co
phishing,051126003224.CF5AE7C48EF,MF-Server.loca
phishing,0511261639.jAQGd4B22287,lwf.ladot.co
phishing,Eg3M7-0006rY-QR,kos.kosmoshosting.ne
phishing,xtp1oo$ngpz$b911q-4w8-4$9,mcl174d.6zs4
phishing,GPEMLLTZKBJOJECYSAFLR,ebay.co
phishing,ZYUTZPMCZEOJYXBHKA,e-Gold.co
phishing,051127235017.661BE25A72,blackmagic.bluemarble.ne
phishing,6aeb033xow80b8qfw$hxe9o08pqs611$ir41m1,Y96
phishing,33201685.12757.qmail,paypal.co
phishing,051129015921.1F0D16CCE5E,mail1.example.co
phishing,9-7l-i1o$p5447hc65-$h89ek303c,hrhsx
phishing,051129100341.5C5EFB871,mail.erskinegrove.com.a
phishing,SXGFXPYRKYQFUTNNGBFH,hotmail.co
phishing,$z$vw$0-5i,dt2br1
phishing,WEPABKJZJXFZNEIBDNHA,charter.ne
phishing,0511300403.jAU43g0k018780,nova.thinktel.c
phishing,HKVPSXSSLGAIEZBJON,yahoo.co
phishing,FSMDVXZJHPFTTWTYTXKQDS,comcast.ne
phishing,TYDSSZOVQCIWONSXAAFBLRI,comcast.ne
phishing,051130164653.2776F6CCEFA,mail1.example.co
phishing,051130171616.48CCD7E8885,WDMserve
phishing,WUPXZDOEHMGIZMJAFQA,hotmail.co
phishing,DYYIUBOAXQGXXSIFYR,charter.ne
phishing,-8k$2x$0rem--$7$bdn$6g583,z74i
phishing,051129192626.6180.qmail,ns9.futie.ne
phishing,33402054.17568.sus,eBay.co
phishing,0512011028.jB1ASYak031148,mail.promerco.c
phishing,0512011252.jB1Cqgcu020206,localhost.localdomai
phishing,TTKHZCQDBXUHOFUAKM,aol.co
phishing,051201200044.0BC441469956,ServerDS
phishing,0001c5f735$fde76dcc$ac1d09fe,my-HypoVereinsbank.d
phishing,051202143608.32DC2CB73C8,MF-Server.loca
phishing,EiD9Y-0001Gp-89,albergue.hospedajededicado.co
phishing,051129152546.1AB6D991C0,Webserver.mptaiping.gov.m
phishing,ZDKCWWXVQQRPPNPHJPSE,aol.co
phishing,051203152136.0E5C67481FF,wsp3.surf-town.ne
phishing,051203201450.7E5295D172D,localhos
phishing,33649057.21265.qmail,arribada.ebay.co
phishing,33661906.20547.qmail,arribada.ebay.co
phishing,LPQAVLEOWCUMUNIANP,aol.co
phishing,33674265.22898.acc,eBay.co
phishing,VGYBVDWDIYQLPUYKURN,verizon.ne
phishing,WSVVDQCEDTISZFYZXR,reward-survey.co
